,Id,Id2,Geography,Lat,Lng
0,0500000US01001,1001,"Autauga County, Alabama",32.5791817,-86.49965460000001
1,0500000US01003,1003,"Baldwin County, Alabama",30.6010744,-87.77633329999999
2,0500000US01005,1005,"Barbour County, Alabama",31.8172896,-85.35496499999999
3,0500000US01007,1007,"Bibb County, Alabama",32.9562798,-87.14228949999999
4,0500000US01009,1009,"Blount County, Alabama",34.0145152,-86.49965460000001
5,0500000US01011,1011,"Bullock County, Alabama",32.0573536,-85.7256372
6,0500000US01013,1013,"Butler County, Alabama",31.6760284,-86.6611083
7,0500000US01015,1015,"Calhoun County, Alabama",33.7701576,-85.80766
8,0500000US01017,1017,"Chambers County, Alabama",32.9028048,-85.35496499999999
9,0500000US01019,1019,"Cherokee County, Alabama",34.1665322,-85.684578
10,0500000US01021,1021,"Chilton County, Alabama",32.944392,-86.6611083
11,0500000US01023,1023,"Choctaw County, Alabama",32.0716631,-88.24611829999999
12,0500000US01025,1025,"Clarke County, Alabama",31.7002461,-87.77633329999999
13,0500000US01027,1027,"Clay County, Alabama",33.279527,-85.84862360000001
14,0500000US01029,1029,"Cleburne County, Alabama",33.6261707,-85.52002399999999
15,0500000US01031,1031,"Coffee County, Alabama",31.4751172,-86.0121573
16,0500000US01033,1033,"Colbert County, Alabama",34.7117567,-87.89424509999999
17,0500000US01035,1035,"Conecuh County, Alabama",31.501571,-86.9824288
18,0500000US01037,1037,"Coosa County, Alabama",32.8897772,-86.2196937
19,0500000US01039,1039,"Covington County, Alabama",31.3066438,-86.49965460000001
20,0500000US01041,1041,"Crenshaw County, Alabama",31.6671872,-86.3376761
21,0500000US01043,1043,"Cullman County, Alabama",34.2011537,-86.8220341
22,0500000US01045,1045,"Dale County, Alabama",31.4645298,-85.684578
23,0500000US01047,1047,"Dallas County, Alabama",32.2332138,-87.14228949999999
24,0500000US01049,1049,"DeKalb County, Alabama",34.5211397,-85.684578
25,0500000US01051,1051,"Elmore County, Alabama",32.5647083,-86.0121573
26,0500000US01053,1053,"Escambia County, Alabama",31.1394734,-87.14228949999999
27,0500000US01055,1055,"Etowah County, Alabama",34.0455341,-86.05296039999999
28,0500000US01057,1057,"Fayette County, Alabama",33.6871392,-87.77633329999999
29,0500000US01059,1059,"Franklin County, Alabama",34.3967457,-87.6186379
30,0500000US01061,1061,"Geneva County, Alabama",31.0990456,-85.684578
